# Experimental data from:
# The Auger electron spectrum of water vapour
# Siegbahn, Kaspludn, Kelfve, Chem. Phys. Lett., 1975
"Electron kinetic energy [eV]" "Net counts"
443.17 1629.7
443.44 1547.5
444.31 1602.0
445.12 1574.4
445.65 1711.2
446.12 1820.7
446.66 1820.6
447.33 1847.8
448.00 2039.4
448.26 1984.5
448.73 2066.6
449.00 2121.3
449.47 2093.8
449.81 2230.7
450.34 2285.3
450.88 2230.4
451.35 2175.4
451.68 2230.1
452.15 2284.8
452.42 2257.3
452.75 2257.2
452.95 2394.2
453.42 2531.0
453.63 2640.6
453.96 2640.5
454.36 2695.2
454.63 2749.9
454.90 2832.0
454.97 2969.0
455.23 3078.5
455.64 3133.2
455.97 3270.1
456.37 3352.1
456.64 3379.5
456.98 3406.8
457.24 3461.5
457.51 3516.2
457.71 3571.0
457.85 3598.3
458.25 3488.6
458.52 3488.5
459.05 3378.8
459.25 3351.4
459.79 3186.8
460.19 3104.5
460.99 3022.1
461.53 2912.4
462.07 2857.4
462.53 2857.3
463.47 2911.8
463.67 3103.6
463.67 3268.0
464.61 3240.3
465.01 3240.2
465.55 3322.2
466.22 3486.4
466.69 3650.7
467.23 3760.1
467.63 3814.8
468.10 3842.1
468.50 3896.8
468.90 3951.5
469.17 4088.4
469.37 4006.1
469.97 4060.7
470.64 4197.5
471.11 4444.0
471.38 4663.1
471.65 4854.8
471.85 5073.9
472.05 5293.1
472.19 5512.2
472.46 5703.9
472.59 5950.4
472.86 6087.4
472.99 6306.5
473.33 6553.0
473.53 6772.1
473.53 6909.1
473.73 7320.0
473.80 7046.0
473.94 7484.3
474.14 7758.2
474.21 7950.0
474.61 8086.9
475.01 8004.6
475.41 7812.7
475.68 7292.1
475.68 7566.0
475.81 7127.6
475.88 7072.8
476.08 6853.6
476.14 6771.4
476.28 6497.4
476.34 6059.0
476.61 5812.4
476.74 5319.2
477.08 5072.5
477.54 4825.8
477.81 4551.7
478.01 4359.9
478.28 4058.5
478.95 3976.1
479.89 4030.6
480.49 4249.6
480.62 4386.6
480.96 4660.5
481.36 4715.2
481.63 4906.9
482.17 5016.3
482.37 5071.0
482.64 5071.0
483.04 4988.7
483.71 4824.1
484.24 4906.2
484.78 5015.6
485.11 5042.9
485.52 5152.4
485.85 5261.9
486.05 5344.0
486.25 5508.3
486.39 5617.9
486.66 5645.2
486.99 5535.5
487.06 5508.1
487.53 5371.0
487.93 5179.1
488.53 5096.8
489.33 4904.8
489.40 4904.7
489.67 5096.4
490.14 5425.1
490.27 5671.6
490.27 5890.8
490.34 6383.9
490.41 6219.5
490.81 6794.8
491.02 7589.2
491.29 8438.5
491.49 9260.3
491.76 10027
491.96 10767
492.30 11397
492.44 11753
492.71 12219
492.98 12548
493.11 13013
494.05 13369
494.32 13177
494.45 12986
494.78 12438
495.05 11807
495.25 11177
495.38 10629
495.58 10328
495.98 10163
496.18 10355
496.52 11369
496.72 11971
496.79 12656
497.00 13478
497.00 14190
497.27 15944
497.55 17670
497.82 19122
498.16 19806
498.69 18354
498.88 15340
499.13 11231
501.11 2983.7
501.18 2654.9
501.51 2024.7
501.78 1723.3
502.11 1367.0
502.52 1120.3
502.92 983.23
503.25 873.55
503.65 791.24
504.26 791.08
504.72 653.96
