#   2h energies (au)   Partial gammas (eV), computed by averaging stieltjes 15-22
   3.179804927291302   17e-3
   3.193440161807087   19e-3
   3.243842859525609   22e-3
   3.254607764534170   165e-4
   3.281246486333515   16e-4
   3.383316169018236   13e-3
   4.087613908572305   25e-3
   4.108950957452901   19e-3
   4.216082603768652   14e-3
   4.811339283341230   17e-3
# Triplet states
   3.097494347583363 0.836273e-3
   3.165851511644417 0.000888906
   3.191961326909497 0        # Stieltjes did not converge
   3.784709557231220 6.7e-3
   3.807674201270979 0        # Stieltjes did not converge
   3.878701015458525 0        # Stieljes did not converge
